BGGId,Name,Year_Published,Description,Min_Players,Max_Players,Min_Playtime,Max_Playtime,Average_Rating,Bayesian_Average_Rating,Number_of_Ratings,Mechanics,Categories
5149,Bedlam,1995,"Pit with a board.&#10;&#10;In this game, the objective is to move along your pawn's lane from one end of the board and back before anyone else does.  Along that path are 8 different pictures, repeated over and over, and each person's path is slightly different (at least the sequence of the images varies, but the same images are used).&#10;&#10;Each player also holds a hand of cards and their goal is to collect cards with the same images as the one their pawn is resting on.  That part of the game is pretty much the same as the classic game, Pit.  Players trade cards unseen, in any combinations (unlike Pit) and all that must happen is that an equal number of cards must be given and taken.&#10;&#10;When the timer runs out, move your pawn forward the number of spaces equal to the number of matching cards in your hand.  At that point, most of the time, you will be sitting on a different image, so another round of trading is necessary to redistribute your hand.&#10;&#10;",3,6,45,45,5.74074,0,27,['Trading'],"['Negotiation', 'Real-time']"
56283,Harpoon: Sub Forms – Submarine Data Sheets,1989,"An expansion for the 3rd Edition Harpoon, it contains pre-made submarine forms for 7 different countries, and over 35 submarines.&#10;&#10;It includes:&#10;&#10;USA - Barbel class, Los Angeles class, Imp. Los Angeles class, Narwhal class, Permit class, Seawolf class, Skipjack class, Sturgeon class&#10;&#10;USSR - Akula class, Alfa class, Charlie I class, Charlie II class, Echo II class, Echo II Mod class, Foxtot class, Juliett class, Kilo class, November class, Oscar I class, Sierra class, Tango class, Typhoon class, Victor III class, Yankee SSN class&#10;&#10;UK - Oberon class, Swiftsure class, Trafalgar class, Upholder class, Valiant class&#10;&#10;French - Agosta class, Daphne class, Rubis class&#10;&#10;Italian - Salvatore Pelosi class, Nazario Sauro class, Enrico Toti class&#10;&#10;FRG - U-13 class, Type 211 class&#10;&#10;Dutch - Zwaardvis class&#10;&#10;",2,0,0,0,7.30556,0,18,[],"['Book', 'Expansion for Base-game', 'Modern Warfare', 'Nautical']"
155665,Maelstrom Domesday Advanced Combat Cards,2013,"User Summary&#10;&#10;A deck of 16 cards detailing the advanced combat options such as ""All Out Attack"" and ""Flee"".&#10;&#10;",N/A,N/A,N/A,N/A,8,0,1,[],[]
274650,Interesting Boss Mechanics,2019,Publisher's blurb:&#10;&#10;One hundred different strategies your party needs to defeat that big enemy!&#10;&#10;,N/A,N/A,N/A,N/A,0,0,0,[],[]
26791,Sharivari,2005,"In this French party game, which features illustrations by David Cochard, players are divided in 2 or more teams. The goal is to search a word that fits an imposed theme. The game is played without pencil & paper but does include 32 recto-verso cards, 2 rule cards and 40 chips.&#10;&#10;",2,10,30,30,4.8,0,5,[],"['Party Game', 'Word Game']"
168572,WrestleDementia 2013,2013,"From publisher blurb:&#10;&#10;All the excitement, drama, and pageantry of WrestleDementia 2013 is here! &ldquo;Boy Toy&rdquo; Shane Nichols seconds &ldquo;The Name&rdquo; with HGH&rsquo;s career on the line against Brad &ldquo;The Big Deal&rdquo; Nessler! Team No Way in Hell battles Ralph Diggler & Huge D. Dunston for the tag title! Phantango makes his long-awaited in-ring debut! Plus guidelines to replay all matches from WrestleDementia 2013!&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
19435,Felithian Finance,2006,"Felithian Finance is a game of stock accumulation, coupled with a 6 by 6 grid upon which corporate markers are played.&#10;&#10;Players are dealt 4 cards from a deck of 110 cards. There are 10 shares each of 10 corporations. Each player's turn consists of buying a new share and playing a corporate tile on the 6 by 6 board. Tiles on the board increase the value of shares held. By judiciously playing tiles, players can augment the value of the corporations they control and thwart the growth of the holdings of others. Dice are rolled to determine if dividends are played. Eventually the game comes to an end and the player with the most galactic credits (money) is the winner.&#10;&#10;",2,7,30,60,6.975,0,16,"['Dice Rolling', 'Square Grid', 'Stock Holding', 'Tile Placement']",['Economic']
296590,Netflix Castlevania,2019,"From the introduction:&#10;&#10;Targoviste, Wallachia. The year of our Lord, 1475.&#10;&#10;The human wife of Dracula, Lisa Tepes, has just crumbled to ash - having been burnt at the stake in the main square by priests in front of a group of onlookers. The crowd is horrified as the furious, demonic visage of Dracula appears in the flames, cursing the humans of Wallachia for taking the woman he loved from him. He vows to rain his wrath down upon them, giving them a year to wipe away all traces of their existence from his land and leave before the forces of Hell itself comes to claim their souls. A massive explosion wracks the square in front of the cathedral, and fire begins to rain from the sky.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
108654,Faces of the Rakshasa,2011,"User Summary:&#10;&#10;A sourcebook that describes Rakshasas, the animal shapeshifters living amongst humans.  The book describes how rakshasas operate, their statistics and gives a 20-level progression chart that allows players to use Rakshasas as a class.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
276386,Caesar: Rome vs. Gaul,2020,"Caesar: Rome vs. Gaul  is a fast-playing, easy-to-learn, two-player card-driven game on Caesar&rsquo;s conquest of Gaul. One player plays Caesar as he attempts to gain wealth and fame in Gallia at the expense of the Gauls. The other player controls all the independent tribes of Gaul as they slowly awake to the peril of Roman conquest.&#10;&#10;Caesar: Rome vs. Gaul  uses many of the core rules and systems used in Hannibal: Rome vs. Carthage. Players are dealt 8 cards at the start of each turn and use their cards to move their armies and place control markers. Players familiar with Hannibal: Rome vs. Carthage  will quickly learn this game.&#10;&#10;The game covers the height of the Gallic Wars, the period between 57 BC and 52 BC when Caesar campaigned back and forth across Gaul putting down one rebellion after another and invading Germania and Britannia. Units are individual Roman Legions or Gallic Tribes. Each turn represents one year.&#10;&#10;&mdash;description from the publisher&#10;&#10;",2,2,120,240,7.88988,5.99743,593,"['Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management', 'Point to Point Movement', 'Simulation']","['Ancient', 'Wargame']"
274591,Castle,2019,"From the introduction:&#10;&#10;A beautiful castle with throne rooms, kitchen, library, armory, cantinas, treasure room, office, winter garden, guest rooms and more! This set is containing 36 unique areas and their empty or alternate versions with rooms, chambers, and corridors that you can mix with the Fortress tiles.&#10;&#10;This set includes many double-sided, amazingly detailed 6x6 inch sized tiles in both physical and digital formats, and will provide you a more thrilling gaming experience while you are sitting around a table or having fun online with your friend.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
112219,Super Professional Baseball II,N/A,"Super Professional Baseball II (&#227;&#130;&#185;&#227;&#131;&#188;&#227;&#131;&#145;&#227;&#131;&#188;&#227;&#131;&#151;&#227;&#131;&#173;&#227;&#131;&#149;&#227;&#130;&#167;&#227;&#131;&#131;&#227;&#130;&#183;&#227;&#131;&#167;&#227;&#131;&#138;&#227;&#131;&#171;&#227;&#131;&#153;&#227;&#131;&#188;&#227;&#130;&#185;&#227;&#131;&#156;&#227;&#131;&#188;&#227;&#131;&#171;&#239;&#188;&#146;, ""Super Professional Baseball 2"") is a sequel to Super Professional Baseball, although the next game in the Bases Loaded Series is Super 3D Baseball so it is also a sequel.&#10;&#10;Although Super Professional Baseball was the basis for the North American port called Super Bases Loaded, Super Professional Baseball II is a significantly different game than Super Bases Loaded 2. The end result of either winning a single game or winning the championship is fireworks followed by a ticker-tape parade.&#10;&#10;Source: Wikipedia, ""Super Professional Baseball II"", available under the CC-BY-SA License.&#10;&#10;",1,2,N/A,N/A,0,0,0,[],[]
290736,Gaïa: Paquet Promotionnel,2015,"This mini pack includes 8 new city cards for the first or second edition of Ga&iuml;a:&#10;the Brandenburg Gate, Paris, the Forbidden City, New York, Saint Petersburg, Biskupin, Cracovia and Venice.&#10;The first seven replace the cities of the game having the same characteristics (these are alternative illustrations). Venice is an additional city, to add to the Life cards. This is the only city to be laid on a Sea tile.&#10;This pack is included in the third edition of the game.&#10;&#10;",2,5,30,30,0,0,0,"['Area Majority / Influence', 'Hand Management', 'Memory', 'Open Drafting', 'Set Collection', 'Tile Placement']","['Expansion for Base-game', 'Territory Building']"
238328,26,2017,"26 is a competitive, fun, team-based card game. Players will divide into two or more teams. After determining which team will go first, one team will draw a letter card and the other will draw a topic card. The team holding the topic card announces the topic and the team with the letter card has 26 seconds to name as many topics as possible that start with the letter on their card. Then, the team holding the topic card draws a letter card and does the same thing. The team with more topics wins that round. The first team to win six topic cards wins the game!&#10;&#10;",4,0,10,60,0,0,0,['Cooperative Game'],"['Card Game', 'Party Game']"
226700,Reaper of the Returned,2017,"From publisher blurb:&#10;&#10;All living things must die. The multiverse is a fantastical place filled with wonder and mystery, but that one fact is true across all the planes. Not that heroes or adventurers are concerned, since surviving party members can just track down a cleric who will resurrect them for a generous donation to the temple. But such actions have consequences, even upsetting the delicate cosmic structure of reality.&#10;&#10;And when that happens, a reaper arrives to balance the scales.&#10;&#10;Reapers don't care if a hero is good or evil. They aren't moved by pleading, bargaining, or curses. It's not even clear if they can be killed, since the few who claim to have survive a reaper tend to die a few short years later. All that matters to them is restoring the cosmic order of life and death.&#10;&#10;You can hide behind protective spells. Move from one safe house to another. Perhaps even challenge them to personal combat (which they'll gleefully accept). But one way or another, the reaper earns its due. It's just a question of when.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
284501,White Elephant,2021,"White Elephant is a gift exchange card game, and as might be expected for anyone familiar with a ""white elephant"" exchange, the gifts are terrible &mdash; except if you can complete a collection of them, that is.&#10;&#10;Each gift is a suit of cards numbered 0-10, and you want the lowest score possible. You collect cards by choosing them from the ""gift exchange"" in the center of the table or by trading for cards already taken. If you trade, you must place a trade chip in the center of the table, with this chip going to the player who chooses to take all remaining cards from the gift exchange. The round ends once each player has cards in front of them.&#10;&#10;Aside from having low numbers, you can lower your score by having a collection of gifts as then each gift in the collection has a value of 1 instead of its indicated value. A collection, however, is determined by having a majority of cards in the set, so if others steal cards from you, they might also knock you out of contention for a collection...&#10;&#10;",3,8,20,30,6.80882,5.51992,34,"['Open Drafting', 'Set Collection', 'Trading']","['Animals', 'Card Game', 'Party Game']"
44801,Alternity Gamemaster Guide,1998,"As the scene opens...hostile alien vessels converge on a starship in the distant reaches of space...scientists and doctors examine the dying victim of a mutant strain of bacteria...heavily armored space marines discover an ancient artifact on a desolate world...&#10;&#10;Imagine the future--one epic at a time!&#10;&#10;This roleplaying game provides a framework forall kinds of contemporary to far-future science fiction adventures. The Gamemaster Guide, the companion volume to the Alternity Player's  Handbook, contains everything needed to moderate the Alternity game, including:&#10;&#10;     Rules for creating memorable supporting characters, adventuress, and campaigns for any SF setting.&#10;     A ""Fast-Play"" chapter that teaches the basics of moderating the game and provides a starting adventure.&#10;     Starship construction rules and a tactical space combat system.&#10;     Comprehensive star system design rules, including stellar classes and planetary environments.&#10;     More than 30 aliens, creatures, and dangerous animals to use as opponents.&#10;     Templates that quickly bring supporting characters to life.&#10;     Guidelines for designing new alien species and alien artifacts.&#10;     Adventure triggers to spur your imagination and ignite the action.&#10;     A complete index for both the Player's Handbook and the Gamemaster Guide.&#10;&#10;&#10;",N/A,N/A,N/A,N/A,7.08667,6.30187,60,[],[]
127390,Celts,2008,"Publisher Comments&#10;&#10;To make that first RPG experience even more memorable and exciting, Arion Games brings you this miniatures pack, full of visual goodies. All in full glorious colour, and easy to use, this set will make an instant impression on any young gamer.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
229279,Ori and the Will of the Wisps,N/A,"The story takes place immediately after the events of Ori and the Blind Forest and is narrated by the Spirit Willow in the forest of Niwen. Kuro's last egg hatches, giving birth to a baby owl whom Ori, Naru, and Gumo name Ku and raise as part of their family. Being born with a damaged wing, Ku cannot fly until Gumo affixes Kuro's feather to it. Ku and Ori go on a flight that ends up taking them out of Nibel and into Niwen, where a storm separates them. Ori's search for Ku eventually leads them to Kwolok, a toad looking over the Inkwater Marsh and some of the inhabitants of Niwen, the Moki. He tells Ori that Ku is in the Silent Woods, the Moki's former home now turned into a desolate graveyard of owls.&#10;&#10;The player controls the titular Ori, a white guardian spirit. As Ori, players must jump, climb, glide, and swim between various platforms to solve intricate puzzles. Gameplay unfolds in the form of a Metroidvania, with new abilities and upgrades allowing players to unlock previously inaccessible areas of the map. Some of the foundational gameplay elements were inspired by the Rayman and Metroid franchises. Unlike its predecessor Blind Forest, Will of the Wisps relies on autosaving rather than manually placed ""soul links"". The sequential upgrade system of the first title has been abandoned for a system of ""shards"" , which can be purchased or found throughout the game to upgrade or modify Ori's stats and attacks. Ori's attacks can be managed via a convenient radial menu, and orbs to increase Ori's health and energy can be found throughout the map.&#10;&#10;",1,1,N/A,N/A,8.4675,6.85854,40,[],[]
180241,Warhammer Age of Sigmar,2015,"Warhammer: Age of Sigmar is a skirmish tabletop game for two or more players where you command several armies from a huge range that goes from  Humans, Dwarves, High Elves, Undead Vampires, Orcs, Beastman and lots of races. This book provides you with all the rules you need to play, and guides you through collecting and painting your own army of Citadel miniatures.&#10;&#10;",2,2,40,180,6.72338,5.76722,708,"['Dice Rolling', 'Line of Sight', 'Measurement Movement', 'Stat Check Resolution', 'Variable Player Powers']","['Fantasy', 'Medieval', 'Miniatures', 'Wargame']"
83874,Zombies,2005,"From publisher blurb:&#10;&#10;Play zombies in any setting, beings with mystical powers and even greater secrets.&#10;&#10;With new powers, abilities and an entire setting that can easily be incorporated into any game, The Lords of the Night: Zombies adds a new look at the age-old zombie and as with previous books, the night will never be the same again.&#10;&#10;You have flesh-eating zombies, new magical diseases, FULLY playable zombies, plus an awesome new type of arcane necromancer.&#10;&#10;As with all new Bottled Imp Books, there are plenty of new playable creatures in this book, including: &#10;&#10;     New Zombie Types (playable character types)&#10;     The Alchemical Zombie (creatures reanimated through the highly addictive Serum)&#10;     The Eldritch Zombie (magic-draining creations of terrible power)&#10;     The Ether Zombie (creatures made from the souls of the living)&#10;     The Golem Zombie (Frankenstein - only taken to Bottled Imp's limits!)&#10;     The Mock Zombie (what happens when resurrections go back)&#10;     The Revenant Zombie (when the promise of revenge passes over into undeath &#10;&#10;&#10;A truly unique book filled with all the grotesqueness and horror you have come to expect from Bottled Imp Games' line.&#10;&#10;Become one of the Risen, take up arms against your mortality (or chase after it!).&#10;&#10;",N/A,N/A,N/A,N/A,7.5,0,2,[],[]
182839,The Horsehead,2011,"User summary&#10;&#10;This is a free 3-page PDF file describing the Horsehead, a new centauroid race for Dice & Glory: The Ultimate Role-Playing Game.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
3524,Geeks: The Convention,2001,"A fast-paced, comedic non-collectible card game where you, the player, control a Busload O' Geeks trying to survive Goon-Con, the greatest game convention in the universe.&#10;&#10;While at the convention, your Geeks will participate in various exciting games, attend thrilling geeky events, and hopefully escape from unexpected freaky disasters.&#10;&#10;That won't be easy, as rival Busloads of Geeks have arrived for some gaming action (controlled by the other players) and they will do everything to Annoy, Bore, Frighten, or Revolt your Geeks out of the convention.&#10;&#10;Once play begins, the battle is on to see whose Geeks will be the last die hard gamers at Goon-Con.&#10;&#10;",2,5,20,20,4.67391,5.48477,46,[],"['Card Game', 'Humor']"
40309,Monopoly: Strasbourg,2007,"A monopoly (from Greek monos &mu;&#207;&#140;&nu;&omicron;&sigmaf; (alone or single) + polein &pi;&omega;&lambda;&epsilon;&#225;&#191;&#150;&nu; (to sell)) exists when a specific person or enterprise is the only supplier of a particular commodity.&#10;&#10;Monopoly is a roll-and-move game where players move around the game board buying or trading properties, developing their properties with houses and hotels. When opponents land on players owned property, the owning player collects rent from the landing player. Owning sets of properties increases the rent paid to the player who owns them, by the player who lands on the square. The ultimate goal is to have the most money and drive opponents into bankruptcy.&#10;&#10;The classic Monopoly with constructions and other elements of the city of Strasbourg, in France.&#10;&#10;",2,6,60,60,4.4,0,5,"['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']","['Economic', 'Negotiation']"
211803,Skeetersoft Baseball,2004,"A Major League Baseball simulation game, which has individual cards for each player and a set of result charts for each of 8 base situations (bases empty to bases loaded), rare plays, base stealing, base advancement, advanced pitching grades.&#10;&#10;After setting your lineup, players roll dice, obtain a result number from the player card, and then refer to charts for results. This will result in an out, or getting on base, with details about each outcome. Then you move on to the next batter. Standard rules of major league baseball apply.&#10;&#10;Although the cards are designed for play with all APBA game boards, it's highly recommended that you purchase the SkeeterSoft Boards and Advanced Pitching System.  All options in the SkeeterSoft world are intuitive, fully explained on the lineup sheet and an Options sheet furnished with each set, and have a relatively slight learning curve.&#10;&#10;Almost every season is available back to 1901.&#10;&#10;",1,2,15,45,7.78571,0,7,"['Dice Rolling', 'Simulation']",['Sports']
9388,Halloween Party,2004,"Toc Toc Toc! (Knock Knock!) is a light, fun and fast paced card game for 3 to 6 players. The rules are very simple, and since it's pure bluff, it can be played as well by children and adults.&#10;&#10;On Halloween night, each player holds a big party in their dark castle and tries to attract the most interesting people &mdash; vampires, ghosts, and other monsters. Regularly, there is a knock on your door &mdash; knock, knock! &mdash; and you must decide whether to open or not. Of course, every player tries to open to the nicest people and to avoid unwelcome visitors such as pure souls that will scare your guests as well as vampires sent by your opponents to lure your best guests into their castle.&#10;&#10;",3,6,20,20,5.4431,5.48939,268,['Set Collection'],"['Bluffing', 'Card Game', 'Horror', 'Humor']"
191417,"Tarzine of the APAs (Vol 1, No 4 - Sep 1975)",N/A,"Tarzine of the APAs&#10;Volume 1, Number 4&#10;September 1975&#10;&#10;Published as PDF in 2015&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
131001,City of the Century,0,"Overview:&#10;City of the Century is a heavy stock/economic game based in Chicago during the Industrial Age.&#10;&#10;Players gain points from playing stock cards into their tableau. The stock cards correspond to four different industries: Manufacturing, Railroads, Livestock, and Grain.  These industries increase in profit through the course of the game by the players collectively operating Chicago. Each time a player increases an industry's profit, they can either draw an stock card or play an stock card from their hand.&#10;&#10;Gameplay:&#10;Each turn, players can perform two of the available actions: Ship, Manufacture, Build, Run Chicago, and Run the Canal. Through these actions, players manipulate the six major goods that were vital to Chicago becoming the heart of the Industrial Revolution: Steel, Coal, Livestock, Grain, Lumber, and Brick.&#10;&#10;Winning:&#10;Players win by totaling the points scored from their stock cards, buildings they constructed, and other small bonuses that appear throughout the game.&#10;&#10;",2,4,0,180,9.5,0,2,"['Action Points', 'Area Majority / Influence', 'Network and Route Building', 'Pick-up and Deliver', 'Set Collection', 'Simulation', 'Stock Holding']","['Economic', 'Industry / Manufacturing', 'Trains']"
224130,The Genpei War: Taira vs Minamoto 1180-1185,2017,"The Genpei War: Taira vs Minamoto 1180-1185 is a 2 player wargame set in 12th century Japan. The Imperial court has come under the influence of the powerful Taira clan. The Minamoto clan, enemies of the Taira, start a revolt that will eventually annihilate the Tairas and found the first Shogunate in Japanese history.&#10;&#10;Players control one of the two rival clans, moving their armies (composed of novice and samurai cavalry and infantry, as well as leaders) and fighting battles. A common deck is used that contains  events, combat and action cards and Bakufu cards. Bakufu cards are small objectives that allow for a political victory.&#10;&#10;The Genpei War: Taira vs Minamoto 1180-1185 is a freely downloadable Print-and-Play game!&#10;&#10;",2,2,90,0,0,0,0,[],"['Medieval', 'Print & Play', 'Wargame']"
252354,Dreamstones,N/A,User Summary&#10;&#10;Dreamstones is a brick-breaking game that features collectable loot and world building elements.&#10;&#10;,1,1,N/A,N/A,0,0,0,[],[]
272472,Fantasy Taverns Battlemap Collection,2018,"Publisher's blurb:&#10;&#10;Beautifully detailed battlemaps for 10 different fantasy taverns.&#10;&#10;As many taverns have multiple floors, there are 20 total maps. Each map is in four formats as detailed below.&#10;&#10;Single page printable map perfect for handing out to your players.&#10;&#10;Large format 300dpi maps suitable for printing on wide format printers.&#10;&#10;Multi-page printables that can be printed on your home printer and taped together to make your own large maps.&#10;&#10;VTT (Virtual Tabletop) formatted maps in both gridded and non-gridded formats ready for use in your favorite game software system.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
50443,"Crash, Bang, Wallop!",2004,From the publisher:&#10;&#10;Match sounds to build a house!&#10;Listen to the CD and guess the familiar household sounds. Build your house and be the first to get the key to the door.&#10;&#10;,2,4,0,0,0,0,0,[],"[""Children's Game""]"
149869,Sherlock 13,2013,"In Sherlock 13, first published as Holmes 13, the players take the role of a detective, trying to unmask the famous thief Arsene Lupin, who is among them in disguise.&#10;&#10;The game consists of 13 character cards, with 2 to 3 characteristics each. Each characteristic is shared by 3 to 5 characters. The cards are shuffled and one is drawn and put aside. This card represents the disguise chosen by Arsene Lupin. The other cards are distributed evenly among the players. The players now tally the total of characteristics they have on their cards (e.g. 2 detectives, 1 female, 0 genius etc) and note them for later use.&#10;&#10;Players now take turns, asking a question to gather new evidence:&#10;&#10;a.) To all players: ""Who has (at least one) of (this characteristic)?&#10;&#10;OR&#10;&#10;b.) To one player: ""How many of (this characteristic) do you have?&#10;&#10;Using these clues the players try to figure out which disguise Arsene has chosen (i.e. which card is missing). Instead of a question, a player may announce which character he suspects to be Arsene in disguise. That player then secretly checks the hidden card. If the suspicion was correct, this player wins the game, otherwise the player is eliminated and the other players continue.&#10;&#10;",2,4,15,15,6.33319,5.75299,1009,[],"['Card Game', 'Deduction', 'Novel-based']"
211420,Shattered Faith,2004,"A One-Round Living Greyhawk Veluna Regional Adventure&#10;&#10;From the introduction:&#10;&#10;Herion&rsquo;s forces surround Mitrik. Canon Hazen has fallen. The Crook has been taken. Rao is unreachable in the Vale&rsquo;s time of need. Veluna&rsquo;s defenders are losing faith. Any glimmer of hope is worth investigating, isn&rsquo;t it?&#10;&#10;A scenario for [character levels] 6 through 12.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
213351,That's Rhomstaff!,2005,"A One-Round Living Greyhawk Bissel Regional Adventure&#10;&#10;From the introduction:&#10;&#10;The undead plague from within the Barony of Rhomstaff has deeply affected the lives of many in the March. Many have suffered and perished at the hands of Evard&rsquo;s minions, and entire generations have been forever scarred... now that&rsquo;s entertainment! Can you uncover the evil plot? Can you save the day? Can you think of a word that rhymes with &lsquo;Evard&rsquo;, finish the closing number, and bring the house down?&#10;&#10;A Bissel regional adventure for inquisitive [characters of levels] 2 - 12.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
287298,Mit År10: Quizzen om 80'erne,2017,"A quiz game with a stack of cards each with six questions about the 1980's.&#10;&#10;At the beginning of the game, the players decide how many points to play to.&#10;&#10;On a player's turn, he rolls the die and the player to his left asks him the corresponding question. If he answers correctly, he gets the card as a point. If his answer is wrong, the other players may hit the bell to answer the question and get the card and the point if correct.&#10;&#10;The game ends when a player has the agreed number of points.&#10;&#10;&mdash;user summary&#10;&#10;",3,99,0,0,0,0,0,[],['Trivia']
268728,Hentai Neighbors,N/A,User Summary&#10;&#10;Reveal and match the memories of the 18 year old boy Hiroki from his summer vacation at this grandmother's village: When you find two matching tiles a bit of the memories of the local girls come back to mind...&#10;&#10;,1,1,N/A,N/A,7,0,1,[],[]
241031,Bountiful Harvest Ritual,2017,"From publisher blurb:&#10;&#10;This installment of Everyman Minis includes: 1,000 words detailing the Bountiful Harvest Ritual&mdash;a new occult ritual that enables communities to usher in tidings of good health and abundant harvest.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
229088,Unseen Threats,2015,"From publisher blurb:&#10;&#10;Backstory Cards: Unseen Threats is a 15-card themed expansion for Backstory Cards.&#10;&#10;Unseen Threats contains prompts for horror and investigation separately &mdash; you can incorporate just the horror cards for survival or action horror, the investigative cards for conspiracy or detective narratives, and of course blend them together for full investigative horror.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
14847,La Guerre des Ducs,0,"""La Guerre des Ducs"" is an introductory wargame from Jeux et Strat&#195;&#169;gie #1, a French gaming magazine.&#10;&#10;A simple wargame about the fictitious war between the Dukes of Orfburg and Wulfenburg in the XVIII century.&#10;&#10;",2,2,120,120,6.54167,0,24,"['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Movement Points', 'Ratio / Combat Results Table', 'Simulation']","['Age of Reason', 'Wargame']"
116608,Kivi's Underworld,N/A,"Kivi's Underworld is a casual, hack and slash game. Explore the mysterious underworld as a mighty Warrior battling opponents toe to toe, rain down fire on your enemies with the dangerous Fire Mage, sneak disguised with stealth to confound your foes as a Scout, unleash the fury of the Berserker, or adventure with any of the other numerous playable characters. You leave the safety of the underground cities to rebuild the lost city of Defiance to defeat a growing dark elf threat, before they destroy your homeland.&#10;&#10;Can you save the lumen people?&#10;&#10;Source: The Game Website.&#10;&#10;",1,1,N/A,N/A,0,0,0,[],[]
179750,Legacy: The Testament of Duke de Crecy – Andrea the dance instructor,2015,A promotional card given out during the 2014 Watch It Played Indiegogo campaign.&#10;&#10;The promo card reads:&#10;&#10;This gen.: Discard a friend from your hand anytime during your turn to gain +2 Honor for each.&#10;&#10;,1,4,60,60,6.58333,0,12,"['Hand Management', 'Open Drafting', 'Set Collection', 'Worker Placement']","['Age of Reason', 'Card Game', 'Expansion for Base-game']"
249837,10 Mississippi,N/A,"User Summary&#10;&#10;10 Mississippi is a stop motion game about a day's routine, played over and over and over and over again. Exploring life's interstitial moments - drinking a cup of coffee or waiting during the morning commute or composing an email to an old friend - the player learns more and more about the character, despite every day remaining exactly the same.&#10;&#10;",1,1,N/A,N/A,0,0,0,[],[]
103363,Party on the beach,2003,"Travel edition of the game Party & Co with 45 cards and 225 questions and tasks. In teams you answer questions and tasks in 5 categories: charades, drawing, trivia, lip reading and word guessing.&#10;&#10;",3,20,30,30,5.6,0,5,"['Acting', 'Paper-and-Pencil']","['Party Game', 'Trivia']"
119408,Fantasywelt:  Sonderausgabe 1 (1990),N/A,"user summary&#10;&#10;This a special issue of the periodical ""Fantasywelt"" including only two big adventures.&#10;&#10;&#10;     Der Henker von Bosc&ucirc;t (5-7 players, AD&D)&#10;     Das Schwert des Eiszauberers (Solo adventure, 1 fighter, DSA)&#10;&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
55927,Zombie Squad,2009,"Zombie Squad website:&#10;&#10;The dead have risen from their graves and now hunt the living to satisfy their insatiable hunger for flesh. Pockets of humanity fight for survival against the ever present undead hordes. Do you have what it takes to survive?&#10;&#10;Zombie Squad is a zombie survival horror game based on the Dungeon Squad system created by Jason Morningstar. Some ideas are also from Alternate Dungeon Squad by Liam Brennan.&#10;&#10;Required items for play include someone to act as a referee, some players, pencils, paper and a dice set from d4 up to d12.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
